VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,tip_amount,total_amount,airport_fee
1,2/1/2022 0:06,2/1/2022 0:19,1,5.4,138,252,17,1.75,3.9,23.45,1.25
1,2/1/2022 0:38,2/1/2022 0:55,1,6.4,138,41,21,1.75,0,30.1,1.25
1,2/1/2022 0:03,2/1/2022 0:26,1,12.5,138,200,35.5,1.75,0,44.6,1.25
2,2/1/2022 0:08,2/1/2022 0:28,1,9.88,239,200,28,0.5,0,34.8,0
2,2/1/2022 0:06,2/1/2022 0:33,1,12.16,138,125,35.5,0.5,8.11,48.66,1.25
1,2/1/2022 0:57,2/1/2022 1:07,2,2.3,140,142,10,3,2.75,16.55,0
1,2/1/2022 0:34,2/1/2022 1:01,1,7.5,140,36,25,3,5,33.8,0
2,2/1/2022 0:03,2/1/2022 0:07,1,0.88,48,68,5,0.5,1.76,10.56,0
2,2/1/2022 0:13,2/1/2022 0:31,1,6.48,142,244,21,0.5,4.96,29.76,0
2,2/1/2022 0:52,2/1/2022 1:02,1,3.29,238,116,12,0.5,2.66,15.96,0
2,2/1/2022 0:05,2/1/2022 0:28,2,9.71,132,36,27.5,0.5,7.2,37.25,1.25
1,2/1/2022 0:57,2/1/2022 1:01,0,0.7,143,163,4.5,3.5,1.2,10,0
2,2/1/2022 0:10,2/1/2022 0:31,1,16,132,80,42.5,0.5,8.76,53.81,1.25
2,2/1/2022 0:35,2/1/2022 1:04,1,6.53,234,225,24.5,0.5,5.66,33.96,0
2,2/1/2022 0:23,2/1/2022 0:40,1,11.77,138,132,32,0.5,6.66,41.21,1.25
2,2/1/2022 0:06,2/1/2022 0:12,1,1.42,233,164,6.5,0.5,2.06,12.36,0
2,2/1/2022 0:14,2/1/2022 0:30,1,4.14,186,262,14.5,0.5,5.49,23.79,0
2,2/1/2022 0:26,2/1/2022 0:42,1,7.66,138,170,23,0.5,6.67,41.27,1.25
2,2/1/2022 0:55,2/1/2022 1:03,5,1.74,79,164,8,0.5,0,11.8,0
2,2/1/2022 0:13,2/1/2022 0:53,1,11.28,132,225,37,0.5,0,39.55,1.25
1,2/1/2022 0:40,2/1/2022 0:47,1,2.6,233,263,9,3,2.55,15.35,0
1,2/1/2022 0:29,2/1/2022 0:53,1,17,132,164,52,3.75,12.6,75.7,1.25
1,2/1/2022 0:35,2/1/2022 1:04,2,16.2,132,162,52,2.5,12.35,74.2,0
2,2/1/2022 0:18,2/1/2022 0:42,1,15.25,132,252,41.5,0.5,13.22,57.27,1.25
2,2/1/2022 0:08,2/1/2022 0:35,1,7.36,249,256,25.5,0.5,5.86,35.16,0
2,2/1/2022 0:50,2/1/2022 1:06,1,3.23,107,48,13,0.5,4.2,21,0
2,2/1/2022 0:02,2/1/2022 0:12,1,1.45,164,264,8.5,0.5,0,12.3,0
2,2/1/2022 0:33,2/1/2022 0:40,1,2.06,142,151,8,0.5,2,13.8,0
2,2/1/2022 0:47,2/1/2022 0:55,1,1.86,151,116,8,0.5,0.7,10,0
2,2/1/2022 0:02,2/1/2022 0:10,1,2.09,249,224,8.5,0.5,2.46,14.76,0
2,2/1/2022 0:40,2/1/2022 0:45,2,1.24,249,144,6,0.5,2,11.8,0
2,2/1/2022 0:19,2/1/2022 0:57,1,20.26,132,238,52,0,10,70.6,1.25
2,2/1/2022 0:32,2/1/2022 1:02,1,10.45,132,198,32,0.5,6.91,41.46,1.25
2,2/1/2022 0:04,2/1/2022 0:23,1,11.37,263,171,31.5,0.5,8.37,50.22,0
1,2/1/2022 0:29,2/1/2022 1:01,1,17.9,132,48,52,3.75,11.3,67.85,1.25
2,2/1/2022 0:35,2/1/2022 0:43,1,1.45,249,148,7.5,0.5,2.26,13.56,0
1,2/1/2022 0:12,2/1/2022 0:41,0,19.2,132,262,52,3.75,15.75,78.85,1.25
1,2/1/2022 0:02,2/1/2022 0:30,1,19.4,132,75,52,1.25,15.1,75.7,1.25
2,2/1/2022 0:24,2/1/2022 0:28,3,1.73,229,236,6.5,0.5,2,12.3,0
2,2/1/2022 0:34,2/1/2022 0:37,3,0.68,263,141,4.5,0.5,1.66,9.96,0
2,2/1/2022 0:05,2/1/2022 0:09,3,1.34,68,100,5.5,0.5,1,10.3,0
2,2/1/2022 0:21,2/1/2022 0:26,2,0.68,68,48,5,0.5,4,12.8,0
2,2/1/2022 0:19,2/1/2022 0:31,1,3.58,230,166,12.5,0.5,3.26,19.56,0
1,2/1/2022 0:26,2/1/2022 0:44,1,3.4,237,79,14,3,2,19.8,0
2,2/1/2022 0:33,2/1/2022 0:39,1,1.71,229,263,7,0.5,2.16,12.96,0
2,2/1/2022 0:05,2/1/2022 0:25,1,10.16,138,17,29.5,0.5,6.41,38.46,1.25
2,2/1/2022 0:28,2/1/2022 0:47,2,10.75,132,92,31,0.5,0,33.55,1.25
2,2/1/2022 0:14,2/1/2022 0:31,1,10.33,138,66,29,0.5,6.06,37.61,1.25
2,2/1/2022 0:38,2/1/2022 0:48,1,2.97,100,140,11,0.5,2.96,17.76,0
